id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
157,Kaadehdhoo,0,05:57,18:04,16:35,92%,26°C,cloudy,29.1 mm,Variable 02 mph,-,2019-12-14 00:00:09,2019-12-14 00:00:09
158,Kaadehdhoo,0,05:59,18:05,20:14,76%,29°C,fine,18.3 mm,NNW 07 mph,-,2019-12-14 12:00:06,2019-12-14 12:00:06
159,Kaadehdhoo,0,05:59,18:05,20:14,93%,26°C,partly cloudy,18.3 mm,VARIABLE 01 mph,-,2019-12-15 00:00:07,2019-12-15 00:00:07
160,Kaadehdhoo,0,06:00,18:06,21:12,89%,26°C,cloudy,4.8 mm,S 12 mph,-,2019-12-15 12:00:10,2019-12-15 12:00:10
161,Kaadehdhoo,0,06:00,18:06,21:12,97%,25°C,cloudy,4.8 mm,CALM,-,2019-12-16 00:00:04,2019-12-16 00:00:04
162,Kaadehdhoo,0,06:00,18:06,22:09,78%,29°C,partly cloudy,0.9 mm,E 06 mph,-,2019-12-16 12:00:05,2019-12-16 12:00:05
163,Kaadehdhoo,0,06:01,18:07,23:03,72%,30°C,fine,6.6 mm,E 06 mph,-,2019-12-17 12:00:05,2019-12-17 12:00:05
164,Kaadehdhoo,0,06:01,18:07,23:03,87%,28°C,fine,6.6 mm,ENE 05 mph,-,2019-12-18 00:00:05,2019-12-18 00:00:05
165,Kaadehdhoo,0,06:01,18:07,23:03,85%,29°C,partly cloudy,TRACE,SE 06 mph,-,2019-12-18 12:00:05,2019-12-18 12:00:05
166,Kaadehdhoo,0,06:01,18:07,23:03,86%,28°C,cloudy,TRACE,SSE 08 mph,-,2019-12-19 00:00:06,2019-12-19 00:00:06
167,Kaadehdhoo,0,06:02,18:08,06:07,75%,31°C,fine,1.8 mm,SSE 08 mph,-,2019-12-19 12:00:10,2019-12-19 12:00:10
168,Kaadehdhoo,0,06:02,18:08,00:45,79%,29°C,cloudy,15.3 mm,WSW 13 mph,-,2019-12-20 12:00:10,2019-12-20 12:00:10
169,Kaadehdhoo,0,06:02,18:08,00:45,89%,27°C,fine,15.3 mm,NNE 03 mph,-,2019-12-21 00:00:05,2019-12-21 00:00:05
